Lane;Firma;Standort;Land;Email_verifiziert;Ansprechpartner;Email_Quelle;Segment/Bedarf;Kontakt_LinkedIn
LLM/GenAI;neuroflash GmbH;Hamburg;DE;magicpen@neuroflash.com;Dr. Jonathan T. Mall (Co-Founder & CIO);neuroflash.com/impressum;GenAI Content;de.linkedin.com/in/drjonathanmall
LLM/GenAI;Retresco GmbH;Berlin;DE;kontakt@retresco.de;Alexander Siebert (Founder & CEO);retresco.de/impressum;NLG;de.linkedin.com/in/alexander-siebert-12346889
LLM/GenAI;Unique AG;Zürich CH;CH;info@unique.ai;Andreas Hauri (Co-Founder & CTO);unique.ai/contact-us;GenAI Finance/Agents;linkedin.com/in/andreashauri
LLM/GenAI;Prior Labs GmbH;Freiburg;DE;hello@priorlabs.ai;Frank Hutter;priorlabs.ai/imprint;Foundation Models (Tabular);
LLM/GenAI;Noxtua AG (ex-Xayn);Berlin;DE;hello@noxtua.com;Leif-Nissen Lundbæk;noxtua.com/legal/imprint;Legal-LLM;
LLM/GenAI;Tucan Systeme (tucan.ai);Berlin;DE;team@tucan.ai;Michael Schramm (Co-Founder & CTO);tucan.ai/impressum;Meeting/Document NLP;at.linkedin.com/in/ms07at
LLM/GenAI;Seedbox Ventures (seedbox.ai);Stuttgart;DE;office@seedbox.ai;Dennis Dickmann (Co-Founder & CTO);seedbox.ai/legal-notice;GenAI-Plattform;
LLM/GenAI;thingsTHINKING GmbH (semantha);Karlsruhe;DE;contact@semantha.de;Dr. Sven Koerner (CEO & Co-Founder);semantha.de/de/impressum;Semantic AI;
LLM/GenAI;SUMM AI GmbH;München;DE;team@summ-ai.com;Nicholas Wolf (Co-Founder & CTO);summ-ai.com/impressum;LLM Leichte Sprache;
LLM/GenAI;Charles GmbH (hello-charles);Berlin;DE;info@hello-charles.com;Andreas Tussing (CEO);hello-charles.com/imprint;Conversational Commerce;
LLM/GenAI;ellamind GmbH;Bremen/Berlin;DE;info@ellamind.com;Bjoern Pluester (CTO);ellamind.com/legal-notice;Custom-LLM Finetuning;
Geospatial/EO/Agrar;OCELL GmbH;München;DE;info@ocell.io;Felix Horvat (CTO);ocell.io/impressum;Forst-KI;
Geospatial/EO/Agrar;ExoLabs GmbH;Zürich CH;CH;contact@exolabs.ch;Reik Leiterer (CEO & Co-Founder);exolabs.ch/contact;Satelliten-Analytik;ch.linkedin.com/in/reik-leiterer-81276056
Geospatial/EO/Agrar;GAF AG;München;DE;info@gaf.de;Dr. Gernot Ramminger (CTO);gaf.de/imprint;Fernerkundung;
Geospatial/EO/Agrar;Overstory;Amsterdam NL;NL;support@overstory.com;Fiona Spruill (CEO);overstory.com/contact-us;Satelliten-Vegetation;
Geospatial/EO/Agrar;Remote Sensing Solutions GmbH;München;DE;info@rssgmbh.de;Prof. Florian Siegert (CEO & Founder);remote-sensing-solutions.com;EO Wald;
Geospatial/EO/Agrar;Cubert GmbH;Ulm;DE;info@cubert-gmbh.de;Dr. Rene Heine (Co-Founder & CEO);cubert-hyperspectral.com/imprint;Hyperspektral;
Geospatial/EO/Agrar;Agvolution GmbH;Göttingen;DE;contact@agvolution.com;Andreas Heckmann (CEO / Geschaeftsfuehrer);agvolution.com/en/contact-us;Precision Ag;
Geospatial/EO/Agrar;Kanop;Paris FR;FR;hello@kanop.io;Louis de Vitry (CTO & Co-Founder);kanop.io/contact;Forst-Carbon MRV;linkedin.com/in/louis-de-vitry/
Geospatial/EO/Agrar;mundialis GmbH;Bonn;DE;info@mundialis.de;Markus Neteler (Co-Founder / Tech-Lead);mundialis.de/impressum;Fernerkundung/GIS;
Geospatial/EO/Agrar;Vista GmbH (Vista Geo);München;DE;mail@vista-geo.de;Silke Migdall (Geschaeftsfuehrerin / COO);vista-geo.de;Satelliten-Ag;
Geospatial/EO/Agrar;Space4Good B.V.;Den Haag NL;NL;hello@space4good.com;Alexander Gunkel (Founder & Managing Director);space4good.com/contact;EO Umwelt;linkedin.com/in/alexandergunkel/
Geospatial/EO/Agrar;geocledian GmbH;Bayern;DE;info@geocledian.com;Stefan Scherer (Founder & Managing Director);geocledian.com/legal-notice;Satelliten-Ag;linkedin.com/in/scherergeocledian/
Geospatial/EO/Agrar;Dryad Networks GmbH;Eberswalde;DE;info@dryad.net;Carsten Brinkschulte (Co-Founder & CEO);dryad.net;Waldbrand-Sensorik;
Geospatial/EO/Agrar;Kermap;Rennes FR;FR;hello@kermap.com;Antoine Lefebvre (CEO & Co-Founder);kermap.com/en/contact;Satelliten-Vegetation;fr.linkedin.com/in/antoine-lefebvre-kermap
Geospatial/EO/Agrar;GeoVille GmbH;Innsbruck AT;AT;info@geoville.com;Dr. Andreas Walli (Founder & CEO);geoville.com/imprint;EO Landmonitoring;
Geospatial/EO/Agrar;Brockmann Consult GmbH;Geesthacht;DE;info@brockmann-consult.de;Carsten Brockmann (Managing Director);brockmann-consult.de/imprint;EO Wasser;
Geospatial/EO/Agrar;EFTAS GmbH;Münster;DE;info@eftas.com;Olaf Buescher (Geschaeftsfuehrer);eftas.de/impressum.php;Fernerkundung Agrar;
Geospatial/EO/Agrar;Restor Foundation;Zürich CH;CH;contact@restor.eco;Lukas Dusek (Data & Technical Engagement Lead);about.restor.eco/contact;Biodiversität EO;
Geospatial/EO/Agrar;Hydrosat;Luxembourg;DE;hr@hydrosat.com;Pieter Fossel (CEO & Co-Founder);hydrosat.com;Thermal-Satellit Agrar;lu.linkedin.com/in/pieter-fossel-6277ab35
Industrielle CV;elunic AG;München;DE;info@elunic.com;Jonas Schaub (Vorstand / Co-CEO, Gruender);elunic.com/de/impressum;KI-Sichtprüfung;de.linkedin.com/in/jonasschaub
Industrielle CV;Data Spree GmbH;Berlin;DE;info@data-spree.com;Eric Doerheit (Co-Founder & Geschaeftsfuehrer);data-spree.com/imprint;MV/DL-Plattform;
Industrielle CV;sentin GmbH;Bochum;DE;contact@sentin.ai;Arkadius Gombos (CTO);sentin.ai/impressum;KI-NDT;de.linkedin.com/in/arkadius-gombos-ba7b05170
Industrielle CV;maXerial AG;Vaduz LI;LI;info@maxerial.io;Thorsten Wiege (CTO & Co-Founder);maxerial.io/about/contact;Elektronik-Inspektion;
Industrielle CV;Quintina GmbH;Frankenberg;DE;info@quintina.eu;Norman Thieme (Geschaeftsfuehrer);quintina.eu/impressum;Textilinspektion;
Industrielle CV;QualiVision AG;Horgen CH;CH;info@qualivision.ch;Dr. Oliver Vietze (Verwaltungsratspraesident);qualivision.ch/location;Pharma/Food-Inspektion;
Industrielle CV;Robotec Solutions AG;Seon CH;CH;info@robotec.swiss;Nick Koch (Founder & CEO);robotec.swiss/de/impressum-datenschutz;Visuelle Inspektion;ch.linkedin.com/in/nick-koch-407a2291
Industrielle CV;PSI Technics GmbH;Winningen;DE;info@psi-technics.com;Karl-Heinz Foerderer (Geschaeftsfuehrender Gesellschafter / CEO);psi-technics.com/impressum;CV Fertigung/Pharma;
Industrielle CV;EEP-Robotics GmbH;Zeiselmauer AT;AT;office@eep-robotics.com;Horst Hoermann (Geschaeftsfuehrer);eep-robotics.com/impressum;Bin-Picking;
Industrielle CV;Robofunktion Vision GmbH;Wolfsburg;DE;kontakt@robofunktion-vision.de;;robovision.de/kontakt;Bin-Picking Automotive;
Industrielle CV;senswork GmbH;Burghausen;DE;info@senswork.com;Rainer Obergrussberger (CEO);senswork.com/kontakt;MV+DL Inspektion;
Industrielle CV;The MoonVision GmbH;Wien AT;AT;office@moonvision.io;Alexander Hirner (Co-Founder & CTO);moonvision.io/en/imprint;KI-Sichtprüfung;
Industrielle CV;Optonic GmbH;Freiburg;DE;info@optonic.com;Rainer Voigt (CEO);optonic.com/impressum;3D-MV+DL;
Industrielle CV;NeuroCheck GmbH;Remseck;DE;info@neurocheck.com;Christian Demant (Geschaeftsfuehrer);neurocheck.com/imprint_engl;MV-Software+DL;
Industrielle CV;IMAGO Technologies GmbH;Friedberg;DE;info@imago-technologies.com;Christoph Siemon (Geschaeftsfuehrer);imago-technologies.com/de/impressum;Embedded Vision;
EU-weit;Kepler Vision Technologies;Amsterdam NL;NL;info@keplervision.eu;Harro Stokman (CEO);keplervision.eu/contact;Care-AI CV;
EU-weit;Aiir Innovations;Amsterdam NL;NL;hello@aiir.nl;Miriam Huijser (CTO);aiir.nl;Aviation MRO Vision;
EU-weit;Avular;Eindhoven NL;NL;info@avular.com;Albert Maas (CEO);avular.com/contact;Autonome Robotik;
EU-weit;Furhat Robotics;Stockholm SE;SE;hello@furhatrobotics.com;Gabriel Skantze (Co-Founder & Chief Scientist);furhatrobotics.com/contact;Soziale Roboter;linkedin.com/in/gabriel-skantze
EU-weit;Cerebriu;Kopenhagen DK;DK;info@cerebriu.com;Akshay Pai (Co-Founder & CTO);cerebriu.com/privacy-policy;Medical Imaging MRT;dk.linkedin.com/in/akshaypai
EU-weit;Distran;Zürich CH;CH;sales@distran.ch;Florian Perrodin (Co-Founder & CEO);distran.swiss/en/contact;Akustik-Imaging;linkedin.com/in/florian-perrodin
EU-weit;Flyability;Lausanne CH;CH;info@flyability.com;Adrien Briod (Co-Founder & CTO);flyability.com/contact;Inspektionsdrohnen;ch.linkedin.com/in/abriod
EU-weit;Therapixel;Paris FR;FR;contact@therapixel.com;Pierre Fillard (Co-Founder & CSO/CTO);therapixel.com/contact;Mammographie-AI;fr.linkedin.com/in/pfillard
EU-weit;Scortex;Paris FR;FR;contact@scortex.io;Serge Zloto (Co-Founder & CTO);scortex.io/contact;Industrielle QC;fr.linkedin.com/in/sergezloto
EU-weit;Tractable;London UK;UK;information@tractable.ai;Razvan Ranca (Co-Founder & CTO);tractable.ai/en/contact;Insurance Vision-AI;uk.linkedin.com/in/razvan-ranca-ab81b727
EU-weit;Vivacity Labs;London UK;UK;contact@vivacitylabs.com;Yang Lu (Co-Founder & CTO);vivacitylabs.com/contact;Verkehrssensorik CV;
EU-weit;Speechmatics;Cambridge UK;UK;media@speechmatics.com;Will Williams (VP Machine Learning / CTO);speechmatics.com/contact;Speech-to-Text;
EU-weit;Brainomix;Oxford UK;UK;info@brainomix.com;Eric Greveson (CTO);brainomix.com/contact;Medical Imaging;uk.linkedin.com/in/ericgreveson
EU-weit;pixolus GmbH;Köln;DE;info@pixolus.de;Mark Asbach (CEO/CTO & Co-Founder);pixolus.de/impressum;Mobile OCR/CV;linkedin.com/in/markasbach/
EU-weit;Kinexon GmbH;München;DE;info@kinexon.com;Dr. Alexander Huettenbrink (Co-Founder & Co-CEO);kinexon.com/imprint;RTLS/Sport-Tracking;
Autonomous Driving;driveblocks GmbH;Garching;DE;contact@driveblocks.ai;Dr. Alexander Wischnewski;driveblocks.ai/imprint;Off-Highway L4;
Autonomous Driving;Embotech AG;Zürich CH/München;CH;info@embotech.com;Dr. Alexander Domahidi (CTO & Founder);embotech.com/contact;Autonome Yard-Traktoren;
Autonomous Driving;EYYES GmbH;Gedersdorf AT/Aachen;AT;office@eyyes.com;Johannes Traxler;eyyes.com/en/imprint;KI-Perzeption Nutzfahrzeug/Bahn;
Autonomous Driving;FUTURAIL GmbH;München;DE;info@futurail.com;Dr. Patrick Dendorfer (Co-Founder & CTO);futurail.com;Autonomer Schienenverkehr;
Autonomous Driving;LOXO AG;Bern CH;CH;relations@loxo.ch;Claudio Panizza (CTO);loxo.ch;L4 Lieferfahrzeuge;
Autonomous Driving;Roboauto;Brno CZ;CZ;info@roboauto.tech;Jakub Juza (CEO);roboauto.tech;Autonomie/Sensing SW;
Autonomous Driving;Terranet/BlincVision;Lund SE;SE;info@blincvision.com;Markus Johansson;terranet.se/contact;Vision-Perzeption ADAS;
Autonomous Driving;Scantinel Photonics GmbH;Ulm;DE;info@scantinel.com;;scantinel.com/imprint;FMCW-LiDAR;
Autonomous Driving;ANavS GmbH;München;DE;info@anavs.de;Prof. Patrick Henkel (CEO);anavs.com;GNSS/INS-Sensorfusion;
Autonomous Driving;Einride;Berlin;DE;de-info@einride.tech;Henrik Green (CTO);einride.tech/impressum;Autonome E-Trucks;
Autonomous Driving;AVL List GmbH;Graz AT;AT;info@avl.com;Mihai Nica (Global Head of ADAS/AD & Connectivity);avl.com/en/imprint;ADAS/AD Engineering;
Autonomous Driving;FEV Group GmbH;Aachen;DE;imprint@fev.com;Thomas Huelshorst (GVP Intelligent Mobility);fev.com/en/imprint;ADAS/AD Engineering;
Autonomous Driving;Oxa;Oxford UK;UK;hello@oxa.tech;Paul Newman (Founder & CTO);oxa.tech/contact;AV-Softwarestack;
Autonomous Driving;NavVis GmbH;München;DE;info@navvis.com;Dr. Georg Schroth (CTO & Co-Founder);navvis.com/imprint;Reality Capture/SLAM;theorg.com/org/navvis-com/org-chart/georg-schroth
Radiologie/Pathologie;b-rayZ AG;Zürich CH;CH;contact@b-rayz.ch;PD Dr. Alexander Ciritsis (CTO & Co-Founder);b-rayz.com/de/kontakt;Mammographie-KI;
Radiologie/Pathologie;FUSE-AI GmbH;Hamburg;DE;info@fuse-ai.de;Matthias Steffen;fuse-ai.de/impressum;Prostata-MRT-KI;
Radiologie/Pathologie;HS Analysis GmbH;Karlsruhe;DE;info@hs-analysis.com;Sergey Biniaminov;hs-analysis.com/impressum;Digitale Pathologie;
Radiologie/Pathologie;AIRAmed GmbH;Tübingen;DE;info@airamed.de;Dr. Tobias Lindig;arzt.airamed.de/de/impressum;Neuroradiologie-KI;
Radiologie/Pathologie;IB Lab GmbH (ImageBiopsy);Wien AT;AT;info@imagebiopsy.com;Zsolt Bertalan (CTO);imagebiopsy.com/legals/legal-notice;MSK/Röntgen-KI;linkedin.com/in/zsolt-bertalan-0560a0a7/
Radiologie/Pathologie;PIUR imaging GmbH;Wien AT;AT;info@piurimaging.com;GF Bender/Bauer;piurimaging.com/imprint;3D-Ultraschall-KI;
Radiologie/Pathologie;deepeye Medical GmbH;München;DE;office@deepeye-medical.com;Ratko Petrovic (CTO & Co-Founder);deepeye-medical.com/imprint;Ophthalmologie OCT-KI;
Radiologie/Pathologie;Mint Medical GmbH;Heidelberg;DE;info@mint-medical.de;Matthias Baumhauer (Managing Director / CEO);mint-medical.com/the-company/contact;Radiologie Reading/Annotation;
Radiologie/Pathologie;MetaSystems GmbH;Altlußheim;DE;info@metasystems.de;Harshawardhan Banda (CEO & President);metasystems-international.com/en/contact;Zytogenetik-Bildanalyse;linkedin.com/in/harshabanda/
Radiologie/Pathologie;Dermanostic GmbH;Solingen;DE;info@dermanostic.com;Dr. Ole Martin;dermanostic.com/impressum;Teledermatologie-KI;
Radiologie/Pathologie;ThinkSono GmbH;Potsdam;DE;hello@thinksono.com;Sven Mischkewitz (Co-Founder & CTO);thinksono.com;Thrombose-Ultraschall-KI;
Radiologie/Pathologie;Spear UG (ex-iThera);München;DE;info@spear-ug.com;Prof. Vasilis Ntziachristos (Founder & Geschaeftsfuehrer);spear-scientific.com/imprint;Optoakustische Bildgebung;
Digital Health;Cardisio GmbH;Frankfurt;DE;info@cardis.io;Meik Baumeister;cardis.io/en/legal-notice;Kardiologie EKG-KI;
Digital Health;Preventicus GmbH;Jena;DE;info@preventicus.com;Dr. Thomas Huebner (Founder & CEO);preventicus.com/impressum;Wearables/Biosignal;linkedin.com/in/thomas-huebner-753a8a139/
Digital Health;cosinuss GmbH;München;DE;info@cosinuss.com;Dr. Johannes Kreuzer (Founder & Managing Director);cosinuss.com/en/imprint;Wearables/Biosignal;linkedin.com/in/johannes-kreuzer-4a217b5b
Digital Health;custo med GmbH;Ottobrunn;DE;info@customed.de;;customed.de/impressum;Kardiologie Holter-KI;
Digital Health;corvolution GmbH;Ettlingen;DE;info@corvolution.com;Dr. Silvester Fuhrhop (Founder & CEO);mesana.com/impressum;Wearables/Biosignal;linkedin.com/in/silvester-fuhrhop/
Digital Health;Aktiia SA (Hilo);Neuchâtel CH;CH;support@aktiia.com;Josep Sola (Co-Founder & CTO);hilo.com/impressum;Wearables/Biosignal;linkedin.com/in/josepsola/
Digital Health;SmartCardia SA;Lausanne CH;CH;contact@smartcardia.com;Dr. Francisco Rincon (Co-Founder & CTO);smartcardia.com/contact;Kardiologie EKG-Patch;linkedin.com/in/francisco-rincon-8821862a
Digital Health;Averbis GmbH;Freiburg;DE;info@averbis.com;GF Daumke/Markó;averbis.com/de/kontakt;Klinisches NLP;
Digital Health;Nyra Health GmbH;Wien AT;AT;info@nyra.health;Mario Zusag (Co-Founder & CTO);nyra.health/impressum;Reha Sprach-KI;linkedin.com/in/mario-zusag-22399b10a/
Digital Health;Lindera GmbH;Berlin;DE;hello@lindera.de;Diana Heinrichs;lindera.de/impressum;Reha Bewegungsanalyse;
Digital Health;apoQlar GmbH;Hamburg;DE;contact@apoQlar.com;Sirko Pelzl;apoqlar.com/imprint.html;Medical Imaging XR;
